word,part_of_speech,example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
balanced,adjective,"A balanced diet must contain carbohydrate, protein, fat, vitamins and mineral salts.",均衡的飲食必須包含碳水化合物、蛋白質、脂肪、維生素和礦物鹽。,平衡的；均衡的,poised,unbalanced,balance 是「平衡」，加 -d 形成形容詞，表示平衡的、均衡的。,23,24,3
bandit,noun,He was reduced to a bandit after his bankruptcy.,他在破產後淪為強盜。,強盜；土匪；歹徒,robber; gangster,,band 可聯想到「一夥、一幫」；bandit 可聯想成成群作案的強盜。,24,,5
banking,noun,"Right now, many traditional banks have also expanded to offer online banking.",現在許多傳統銀行也擴展業務，提供網路銀行業務。,銀行業；銀行業務,,,bank 加 -ing 形成名詞，表示銀行業或銀行業務。,24,,3
bankruptcy,noun,Do you know that bankruptcy allows debtors to be discharged of most of their financial obligations?,你知道宣告破產能解除債務者大部分財務責任嗎？,破產；倒閉；徹底失敗,failure,,bankrupt（破產的）加 -cy 形成名詞，表示破產或徹底失敗。,24,,5
banner,noun,"The marchers carried banners which said ""No War"".",遊行者帶著寫著「拒絕戰爭」的橫幅。,旗幟；橫幅,streamer; flag,,banner 可直接聯想遊行、活動中高舉的旗幟或橫幅。,24,,5
barefoot,adjective,"A barefoot kid just came to our house, begging for something to eat.",一個赤腳的孩子剛來到我們家，乞求一些食物。,赤腳的；不穿鞋襪的,shoeless; unshod,,bare 是「裸露的」，foot 是「腳」，合起來就是赤腳的。,24,,4
barren,adjective,"After the war, the town remained barren.",戰爭過後，那個城鎮仍舊荒蕪。,貧瘠的；荒蕪的；無益的,desolate,rich; fertile,barren 常用來形容土地貧瘠、荒蕪，也可引申為無成果、無益的。,24,,5
basics,noun,Let's stop arguing and get down to the basics.,我們不要再吵了，進入實質性的問題吧！,基本因素；實質性之物,rudiments; fundamentals,,basic 是「基本的」，複數 basics 常指基本要素、基礎事項。,24,,5
battlefield,noun,"When the fighting stopped, dead bodies could be seen all over the battlefield.",當打鬥停止時，戰場上到處可見屍體。,戰場；鬥爭的領域,battleground,,battle 是「戰鬥」，field 是「場地」，合起來就是戰場，也可引申為鬥爭的領域。,24,,3
bearing,noun,The man who ran the biggest company in the city was a man of gentlemanly bearing.,那個擁有全城最大公司的人是個有紳士風度的人。,舉止；風度；忍耐,comportment; manner,,bear 有「表現、忍受」之意，加 -ing 形成名詞，可指舉止、風度或忍耐。,24,25,5
